"nom.depth","target.depth","Cruise","Cast","decy","yyyymmdd","year","month","cruise","hhmm","latN","lonW","Pressure","Depth","Temp","Salt","O2","Beam","PAR","Fluor","Fluor_filt","Fluor_offset","sig_theta","AOU","bvfrq","bvfilt","vort","Sunrise","Sunset","Season","VertZone","MLD_dens125","MLD_bvfrq","MLD_densT2","MLD_densT3","MLD_densT1","MLD_dens2","MLD_densGR","MLD_te2","DCM","DCMde_top","DCMde_bot","DCMinML","par_est","par0","kpar","z_par_1pcnt","z_par_halfpcnt","z_par_tenthpcnt","bottle","cast","case","meanMLD"
"3000","3000","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"3400","3400","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"3800","3800","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"4000","4000","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"4200","4200","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"4530","4530","NaN","NaN","NaN","NaN","NaN","NA",NA,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NA","no TOC/TN","NA"
"1","1","2","2.25","1988.89740223702","19881123.875","1988","11","10002","1361.875","31.83825","64.210125","5.375","5.33755475663524","23.9845","36.4424285714286","214.30875","0.439875","NaN","NaN","NaN","0","24.6911780343938","-8.17244256826041","-1.05509457458563e-05","2.56503670501811e-07","-8.28911700467502e-11","1056.15299999998","2108.52799999998","4","0","62.2687607338222","61.4178324066684","61.4178324066684","62.2687607338222","60.283260851377","62.2687607338222","9.50446664245282","62.2687607338222","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(4, 2, 3, 1)","no TOC/TN","NA"
"10","10","2","2.5","1988.89902806239","19881124.5","1988","11","10002","1293.75","31.83925","64.205","10.5","10.4267227576943","23.8285","36.4442222222222","214.336666666667","0.441916666666667","NaN","NaN","NaN","0","24.6916485490837","-9.24945651579963","3.53247934534581e-06","3.53743188995406e-06","2.77525786402758e-11","1056.69499999998","2108.31999999999","4","0","62.2214730682249","61.5596399248831","61.5596399248831","62.2214730682249","60.2359731103764","62.2214730682249","10.5920238200199","62.2214730682249","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(4, 3, 1, 2)","no TOC/TN","NA"
"20","20","2","2.5","1988.89902806239","19881124.5","1988","11","10002","1293.75","31.83925","64.205","18.5","18.3705286692971","23.8206","36.4482666666667","215.415","0.4423","NaN","NaN","NaN","0","24.6963315671216","-9.65539860145239","6.5245037337413e-06","6.2019263321587e-06","5.12447664738089e-11","1056.69499999998","2108.31999999999","4","0","62.2214730682249","61.5596399248831","61.5596399248831","62.2214730682249","60.2359731103764","62.2214730682249","10.5920238200199","62.2214730682249","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(1, 4, 3, 2)","no TOC/TN","NA"
"40","40","2","2.5","1988.89902806239","19881124.5","1988","11","10002","1293.75","31.83925","64.205","38.5","38.2287262193512","23.79115","36.4548","216.0455","0.44215","NaN","NaN","NaN","0","24.7047068401198","-10.1975334854626","3.56342326769866e-06","1.00970679474072e-05","2.79899351748185e-11","1056.69499999998","2108.31999999999","4","0","62.2214730682249","61.5596399248831","61.5596399248831","62.2214730682249","60.2359731103764","62.2214730682249","10.5920238200199","62.2214730682249","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","c(4, 3, 1, 2)","no TOC/TN","NA"
